Time (s),Channel_1,Channel_2,Channel_3
0.05,1.0207488782769514,0.49569818873792987,0.34334650049832627
0.15000000000000002,0.979252852008576,0.47493635615970803,0.3232224825617963
0.25,0.95669509681363,0.4637542280693414,0.30260590968189494
0.35000000000000003,0.9401394289122036,0.4537538663234769,0.2898245437593086
0.45,0.9352560167463408,0.44598674556833684,0.28988243371495576
0.55,0.935180544423641,0.4440318224730328,0.2970695175254005
0.6500000000000001,0.9268925222785359,0.4399676103178768,0.2894588451447385
0.7500000000000001,0.9251073229519765,0.43614336151844385,0.2868820106568963
0.8500000000000001,0.9222076603770064,0.4331150168080188,0.28517344512337667
0.9500000000000001,0.9155230437434505,0.4327106828714071,0.2862473110348705
1.05,0.9057569707199147,0.4302287587119806,0.2861362896425625
1.1500000000000001,0.8959213220046225,0.42736021405245267,0.28798989354871507
1.2500000000000002,0.8874793955151885,0.4236326625027454,0.28599485231132526
1.35,0.886112196745121,0.4185053492840619,0.28072358682757065
1.4500000000000002,0.9096944858748538,0.4139745639474805,0.30665460553581675
1.55,0.9244118847712252,0.41891692866913915,0.37110233085763894
1.6500000000000001,0.9098359139498498,0.4202355581651809,0.34524674110576536
1.7500000000000002,0.8966758630963029,0.41810948241222695,0.3206465804864584
1.85,0.8874092506505614,0.41265677694544656,0.2986089948741106
1.9500000000000002,0.8850294250421695,0.4069065236575214,0.28299304671058695
2.05,0.8876089392606374,0.4020414998857632,0.28004141454822
2.15,0.8891086870089124,0.39841780678484656,0.2885939682428018
2.25,0.8948886375143227,0.3997968641635855,0.31592675661853725
2.35,0.8832628490519508,0.4004737449116653,0.2983495591328616
2.45,0.8732603416177845,0.4016347437788796,0.2807224454260568
2.55,0.8673475916981036,0.4022802626875255,0.267650150726089
2.65,0.8645208970852005,0.4013918738188302,0.26142816208570263
2.75,0.8668267985211022,0.40265443533866396,0.26109278295359606
2.85,0.8694581985384937,0.40089484447902884,0.2606082821251316
2.95,0.8784647672829141,0.39716428101324447,0.267932494878001
3.05,0.8825663635931166,0.392239376979894,0.2716546212903728
3.15,0.878031740562627,0.38918108160749765,0.26677662489437226
3.25,0.8676954929237981,0.3862533938686341,0.2634170783375046
3.35,0.859908206303719,0.38268128246333466,0.25541831336609483
3.45,0.8565033003545842,0.3808888343374019,0.25459669718913636
3.55,0.8581521030943274,0.3831159251218709,0.26099201809883404
3.65,0.8800292641369991,0.3796602042637255,0.29585159388201077
3.75,0.8791580653736702,0.38026728438327323,0.2980378118349125
3.85,0.867353420028303,0.3769789249597434,0.28144987186401543
3.95,0.8593704062413309,0.37674344788461084,0.2720632269562126
4.05,0.8509316443530599,0.3719882642690973,0.2579965303966156
4.15,0.8441199428008581,0.36591242917192385,0.24612428274168122
4.25,0.8564863390030272,0.36066961002479425,0.2488936443355588
4.35,0.8634549501323172,0.35596286981471936,0.2544509514690866
4.45,0.8528785115419093,0.3513061526863476,0.24816470674630045
4.55,0.8455192656877673,0.34644056023113406,0.24244475793510384
4.65,0.8410020365802164,0.34075128244701136,0.23551209412967888
4.75,0.841295911916992,0.33587810754572917,0.23360613043859343
4.8500000000000005,0.8401419480713308,0.3319756542400381,0.23925703249624775
4.95,0.8458038748902023,0.32872455411399576,0.2530112422583236
5.05,0.8514173764812054,0.3263194022210144,0.2785894714423592
5.15,0.8480997361166583,0.324318942324598,0.2841818405012598
5.25,0.845950038483485,0.32229390266550906,0.2874753465311073
5.3500000000000005,0.8428500042909943,0.32133851446085687,0.2758272637030398
5.45,0.8449663256270094,0.3207878814398203,0.27554276535672145
5.55,0.8433771722041513,0.3189184925486408,0.26845895426915356
5.65,0.8436303630641048,0.31652650462452875,0.2667941638950973
5.75,0.8416941280244862,0.3158291512720634,0.2583110106277664
5.8500000000000005,0.8388128611167083,0.31576019313753895,0.25465788274070367
5.95,0.8377006517928665,0.3161797551533384,0.25052213492626263
6.05,0.840077540469244,0.31450319207815525,0.2521548535253907
6.15,0.8387623185657597,0.3144567917206851,0.25123846887063694
6.25,0.8368761024380483,0.3145359440327019,0.2523275909798287
6.3500000000000005,0.8344437763240319,0.3152901446683321,0.2520731227465762
6.45,0.8370035516273318,0.31520517914766255,0.2550533220989416
